商品url,商品名,商品价格,店铺名,店铺url,店铺综合评分
https://detail.tmall.com/item.htm?id=520377909602&skuId=3608776563462&areaId=610100&user_id=92688455&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,李宁跑步鞋男鞋智能赤兔轻质支撑稳定智能晨跑运动鞋,158.00,李宁官方网店,https://lining.tmall.com,4.8
https://detail.tmall.com/item.htm?id=525813041141&skuId=3437705363725&areaId=610100&user_id=890482188&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,Nike 耐克官方 NIKE REVOLUTION 3 男子跑步鞋 819300,499.00,NIKE官方旗舰店,https://nike.tmall.com,4.8
https://detail.tmall.com/item.htm?id=540744723548&skuId=3407493459781&areaId=610100&user_id=2099023602&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,特步男鞋运动鞋男夏季学生新款透气跑鞋秋季网面休闲鞋男士跑步鞋,159.00,特步宝崎专卖店,https://xtepbaoqi.tmall.com,4.7
https://detail.tmall.com/item.htm?id=527163914889&skuId=3136752841429&areaId=610100&user_id=92688455&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,李宁跑步鞋男鞋超轻十三代轻质透气夜跑夏季反光一体织运动鞋,248.00,李宁官方网店,https://lining.tmall.com,4.8
https://detail.tmall.com/item.htm?id=521877659431&skuId=3108755575867&areaId=610100&user_id=661559176&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,ASICS亚瑟士透气夜跑稳定跑鞋跑步鞋运动鞋EXALT男款T4C1N-4993,413.00,asics旗舰店,https://asics.tmall.com,4.8
https://detail.tmall.com/item.htm?id=544410521502&skuId=3383683268929&areaId=610100&user_id=353571709&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,特步男鞋跑鞋秋季新款透气轻便耐磨减震网面休闲运动鞋男子跑步鞋,219.00,特步官方旗舰店,https://xtep.tmall.com,4.7
https://detail.tmall.com/item.htm?id=531424912684&skuId=3168474832106&areaId=610100&user_id=2126212076&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,李宁男鞋跑步鞋男2017春夏季减震透气网面休闲健身旅游运动鞋学生,209.00,雷霆运动专营店,https://leitingyundong.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543865888348&skuId=3274603764829&areaId=610100&user_id=866054147&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,双星运动鞋男款跑步鞋夏秋网面透气情侣飞织鞋轻便女鞋学生慢跑鞋,99.00,双星世纪专卖店,https://doublestarsj.tmall.com,4.8
https://detail.tmall.com/item.htm?id=4433787243&skuId=3570648306894&areaId=610100&user_id=352469034&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,迪卡侬运动鞋男鞋女鞋夏季网面透气轻便减震休闲鞋跑步鞋KALENJI,79.00,迪卡侬旗舰店,https://decathlon.tmall.com,4.8
https://detail.tmall.com/item.htm?id=530481970512&skuId=3603423703477&areaId=610100&user_id=1776425175&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,特步女鞋秋季新款运动鞋女小白鞋2017跑步鞋透气夏网鞋休闲旅游鞋,159.00,蓝瞳运动专营店,https://ltyd.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543238091779&skuId=3268097244433&areaId=610100&user_id=2379175181&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏跑鞋男运动鞋2017秋季新款正品男鞋减震气垫鞋轻便休闲跑步鞋,249.00,anta安踏安鸿专卖店,https://antaah.tmall.com,4.7
https://detail.tmall.com/item.htm?id=544463035389&skuId=3626742827166&areaId=610100&user_id=2372784938&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,361度男鞋运动鞋正品2017网面跑步鞋 361男鞋夏季透气跑鞋休闲鞋,149.00,361度悠购专卖店,https://361duyg.tmall.com,4.7
https://detail.tmall.com/item.htm?id=544548049728&skuId=3445751546752&areaId=610100&user_id=1961184609&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,【热卖10万双】骆驼运动鞋 男女透气休闲鞋 轻便耐磨缓震跑步鞋,108.00,骆驼牌户外旗舰店,https://luotuopaihuwai.tmall.com,4.8
https://detail.tmall.com/item.htm?id=546404454690&skuId=3576091107578&areaId=610100&user_id=353571709&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,特步男鞋跑步鞋秋季新款透气减震耐磨休闲飞织气垫运动鞋男子跑鞋,259.00,特步官方旗舰店,https://xtep.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543374860624&skuId=3269892992660&areaId=610100&user_id=135006796&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,李宁男鞋跑步鞋2017夏季新款官方正品防滑网面透气休闲运动鞋男,159.00,金冠体育用品专营店,https://jinguan.tmall.com,4.7
https://detail.tmall.com/item.htm?id=38251133242&skuId=3606056342153&areaId=610100&user_id=685174260&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,NIKE耐克男鞋2017夏季新款透气网面轻便休闲运动跑步鞋908989 001,438.00,上下运动专营店,https://shangxiayd.tmall.com,4.7
https://detail.tmall.com/item.htm?id=38749280524&skuId=65365540171&areaId=610100&user_id=2046636426&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,乔丹男鞋跑步鞋透气2017新款夏季网面休闲旅游官方旗舰店运动鞋男,149.00,乔丹探乐专卖店,https://qiaodantl.tmall.com,4.7
https://detail.tmall.com/item.htm?id=545625149390&skuId=3451771241247&areaId=610100&user_id=349740505&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,鸿星尔克男鞋轻便透气鞋子网面针织休闲跑鞋男运动鞋夏男士跑步鞋,159.00,鸿星尔克官方旗舰店,https://erke.tmall.com,4.7
https://detail.tmall.com/item.htm?id=527104293077&skuId=3212430086834&areaId=610100&user_id=2176847013&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,匹克跑步鞋男鞋2017夏秋季新款男士休闲鞋子轻便透气网面运动鞋男,159.00,peak匹克元宝专卖店,https://peakyb.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543444964546&skuId=3395011429532&areaId=610100&user_id=2455057195&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,乔丹男鞋跑步鞋2017夏季新款透气网面气垫鞋休闲跑鞋秋季运动鞋男,219.00,乔丹瑞华泽专卖店,https://qiaodanrhz.tmall.com,4.7
https://detail.tmall.com/item.htm?id=537225037610&skuId=3425674760539&areaId=610100&user_id=1940724523&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,Under Armour 安德玛 UA男子 Charged Bandit 2跑步鞋-1273951,899.00,UNDER ARMOUR官方旗舰店,https://underarmour.tmall.com,4.9
https://detail.tmall.com/item.htm?id=528008145710&skuId=3143254326003&areaId=610100&user_id=385132127&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏女鞋跑步鞋 夏季新款轻便运动鞋女透气减震耐磨休闲鞋慢跑鞋,159.00,安踏官方网店,https://anta.tmall.com,4.8
https://detail.tmall.com/item.htm?id=542994565053&skuId=3451806709560&areaId=610100&user_id=349740505&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,鸿星尔克男鞋夏正品跑步鞋秋季男士透气休闲运动鞋网面鞋子跑鞋男,169.00,鸿星尔克官方旗舰店,https://erke.tmall.com,4.7
https://detail.tmall.com/item.htm?id=527126660105&skuId=3611132415824&areaId=610100&user_id=1946733124&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋运动鞋男跑步鞋秋季2017新款旗舰店官方店学生休闲气垫鞋,279.00,安踏安大专卖店,https://antaad.tmall.com,4.7
https://detail.tmall.com/item.htm?id=532795219059&skuId=3575806462162&areaId=610100&user_id=2261293341&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,运动鞋男夏季特步男鞋正品网面品牌透气跑鞋休闲网鞋男减震跑步鞋,159.00,特步步步非凡专卖店,https://xtepbbff.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543706956522&skuId=3406717388853&areaId=610100&user_id=890482188&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,Nike耐克官方 NIKE FLEX EXPERIENCE RN 6 男子跑步运动鞋 881802,499.00,NIKE官方旗舰店,https://nike.tmall.com,4.8
https://detail.tmall.com/item.htm?id=542639392757&skuId=3426418111652&areaId=610100&user_id=2196663066&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,361女鞋夏季女士运动鞋秋361度女夏休闲透气网面官方旗舰店跑步鞋,139.00,361度维森专卖店,https://361duws.tmall.com,4.7
https://detail.tmall.com/item.htm?id=540465478732&skuId=3456441594360&areaId=610100&user_id=3000020735&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋跑鞋2017轻便透气潮百搭休闲鞋全黑慢跑鞋黑武士运动鞋男,229.00,安踏炫踏专卖店,https://antaxt.tmall.com,4.7
https://detail.tmall.com/item.htm?id=532622005500&skuId=3415504276773&areaId=610100&user_id=907871871&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏女鞋跑步鞋女2017秋季新款官方正品透气轻便休闲鞋子运动鞋女,169.00,安踏瑞华泽专卖店,https://antarhz.tmall.com,4.7
https://detail.tmall.com/item.htm?id=527462216784&skuId=3142538862249&areaId=610100&user_id=385132127&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋 跑步鞋 夏季新款网面耐磨休闲鞋运动鞋男 轻便跑鞋男鞋,169.00,安踏官方网店,https://anta.tmall.com,4.8
https://detail.tmall.com/item.htm?id=44550725084&skuId=83224837741&areaId=610100&user_id=2318464001&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋跑步鞋夏季网面透气跑鞋2017anta官方旗舰店运动鞋男官网,179.00,anta安踏安大专卖店,https://antaanda.tmall.com,4.7
https://detail.tmall.com/item.htm?id=526426640328&skuId=3560480010199&areaId=610100&user_id=2455057195&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,乔丹女鞋运动鞋女夏季新款轻便透气跑鞋休闲旅游鞋学生跑步鞋女秋,179.00,乔丹瑞华泽专卖店,https://qiaodanrhz.tmall.com,4.7
https://detail.tmall.com/item.htm?id=542444288084&skuId=3260559585850&areaId=610100&user_id=1688379534&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏女鞋 运动鞋2017秋季新款网面休闲旅游跑步鞋 夏季透气跑鞋女,169.00,anta安踏安志专卖店,https://antaaz.tmall.com,4.8
https://detail.tmall.com/item.htm?id=523417744687&skuId=3424589179916&areaId=610100&user_id=917670520&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,李宁跑步鞋男鞋夏季云二代网面透气休闲鞋减震跑鞋健身鞋运动鞋男,239.00,噜啡运动专营店,https://lufeiyd.tmall.com,4.7
https://detail.tmall.com/item.htm?id=542682831135&skuId=3426477483444&areaId=610100&user_id=1689020525&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋跑步鞋2017新款夏季运动鞋男秋季透气休闲鞋旅游鞋男跑鞋,169.00,anta安踏驰尚专卖店,https://antacs.tmall.com,4.7
https://detail.tmall.com/item.htm?id=527126613335&skuId=3382208533915&areaId=610100&user_id=2455355756&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,匹克跑步鞋男鞋子官方旗舰店2017夏秋季新款透气网面休闲鞋运动鞋,159.00,匹克志峰专卖店,https://peakzf.tmall.com,4.7
https://detail.tmall.com/item.htm?id=523046651180&skuId=4611686541474039084&areaId=610100&user_id=1737539452&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏跑步鞋男鞋2017夏秋季新款休闲鞋官方旗舰店网面透气运动鞋子,159.00,隽维运动专营店,https://junweiyd.tmall.com,4.7
https://detail.tmall.com/item.htm?id=542684976317&skuId=3426864667831&areaId=610100&user_id=2996567308&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋跑步鞋2017夏季新款网面透气运动鞋anta官方旗舰店男跑鞋,169.00,安踏勇跃专卖店,https://antayongyue.tmall.com,4.7
