商品url,商品名,商品价格,店铺名,店铺url,店铺综合评分
https://detail.tmall.com/item.htm?id=527284828864&skuId=3137093599936&areaId=610100&user_id=661559176&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,ASICS亚瑟士稳定支撑跑鞋减震跑鞋运动鞋GEL-EXALT男款T616N-3993,399.00,asics旗舰店,https://asics.tmall.com,4.8
https://detail.tmall.com/item.htm?id=16274215036&skuId=20971981864&areaId=610100&user_id=520557274&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,New Balance/NB 574系列三原色男鞋女鞋复古跑步鞋运动鞋ML574VG,619.00,New Balance旗舰店,https://newbalance.tmall.com,4.7
https://detail.tmall.com/item.htm?id=20367855061&skuId=28309609980&areaId=610100&user_id=856223573&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,特步男鞋跑步鞋夏季新款2017正品透气网面鞋休闲运动鞋旅游跑鞋子,129.00,特步创金专卖店,https://xtepcj.tmall.com,4.7
https://detail.tmall.com/item.htm?id=537658558470&skuId=3215564881062&areaId=610100&user_id=2129855716&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,Skechers斯凯奇旗舰店官方旗舰 男鞋运动鞋夏季透气轻跑步鞋54351,349.00,skechers运动旗舰店,https://skechersyd.tmall.com,4.8
https://detail.tmall.com/item.htm?id=522658995029&skuId=3112796312487&areaId=610100&user_id=1688379534&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋 跑步鞋男 跑鞋2017夏季新款休闲鞋网鞋透气秋季运动鞋男,159.00,anta安踏安志专卖店,https://antaaz.tmall.com,4.8
https://detail.tmall.com/item.htm?id=542919014291&skuId=3429048119069&areaId=610100&user_id=363607599&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,361男鞋夏季运动鞋透气跑步鞋男361度女鞋秋季全掌气垫鞋休闲跑鞋,239.00,361度官方旗舰店,https://361du.tmall.com,4.8
https://detail.tmall.com/item.htm?id=526580121061&skuId=3134994065217&areaId=610100&user_id=648476316&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,【热销11万双】骆驼运动越野跑鞋 男女休闲跑步鞋减震轻便运动鞋,158.00,骆驼户外官方旗舰店,https://camelsports.tmall.com,4.8
https://detail.tmall.com/item.htm?id=535776576843&skuId=3288383321633&areaId=610100&user_id=2129855716&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,Skechers斯凯奇时尚印花百搭运动鞋女 网布透气舒适休闲跑鞋12739,356.00,skechers运动旗舰店,https://skechersyd.tmall.com,4.8
https://detail.tmall.com/item.htm?id=526575813673&skuId=3284226400111&areaId=610100&user_id=363607599&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,361男鞋品牌网面秋季运动鞋男361度夏跑鞋轻便透气旅游休闲跑步鞋,159.00,361度官方旗舰店,https://361du.tmall.com,4.8
https://detail.tmall.com/item.htm?id=535915835445&skuId=3361476821446&areaId=610100&user_id=1993730769&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,阿迪达斯男鞋 2017夏季款网面透气缓震休闲轻便运动跑步鞋BB9774,359.00,幸运叶子官方旗舰店,https://xingyunyeziguanfang.tmall.com,4.7
https://detail.tmall.com/item.htm?id=543205407361&skuId=3431840375654&areaId=610100&user_id=831128858&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,匹克跑步鞋男鞋2017夏秋季新款男士透气网面运动鞋旅游休闲跑鞋男,149.00,匹克展翅专卖店,https://peakzc.tmall.com,4.7
https://detail.tmall.com/item.htm?id=526426503716&skuId=3134470176553&areaId=610100&user_id=704932756&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,匹克跑步鞋 男鞋秋季针织网面透气男士休闲鞋学生运动鞋情侣潮鞋,219.00,peak世琪专卖店,https://peaksq.tmall.com,4.8
https://detail.tmall.com/item.htm?id=542312368768&skuId=3580399458550&areaId=610100&user_id=912472728&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,安踏男鞋 跑步鞋2017新款跑鞋男运动鞋休闲鞋轻便耐磨白鞋黑鞋男,179.00,安踏锐动专卖店,https://antard.tmall.com,4.8
https://detail.tmall.com/item.htm?id=546562372660&skuId=4611686564989760564&areaId=610100&user_id=2532523019&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,BMAI/必迈 Mile 42K男女春夏马拉松专业公路跑步鞋缓震透气运动鞋,399.00,bmai必迈旗舰店,https://bmai.tmall.com,4.8
https://detail.tmall.com/item.htm?id=40463392182&skuId=3271504492033&areaId=610100&user_id=352469034&cat_id=50023743&is_b=1&rn=c0315b6e626b300656df2e9130cbb314,迪卡侬运动鞋男夏季网面透气减震轻便慢跑鞋休闲鞋跑步鞋KALENJI,109.00,迪卡侬旗舰店,https://decathlon.tmall.com,4.8
